gene	distance
100088at32523	0.9
101062at32523	1
134832at32523	1
142573at32523	1
142910at32523	1
144087at32523	1
144786at32523	1
163188at32523	0.9411764705882353
166016at32523	1
185487at32523	1
193058at32523	1
198830at32523	0.9
203233at32523	0.9285714285714286
203712at32523	1
232356at32523	0.9
237758at32523	0.9411764705882353
238978at32523	0.9285714285714286
239181at32523	1
239784at32523	1
243068at32523	1
243385at32523	0.9166666666666666
245810at32523	1
249574at32523	0.9411764705882353
250976at32523	1
254079at32523	1
254236at32523	1
257713at32523	0.9285714285714286
260366at32523	0.9375
263885at32523	0.9375
267472at32523	1
268208at32523	1
270073at32523	0.9375
279478at32523	0.9285714285714286
283371at32523	0.9230769230769231
283776at32523	0.9444444444444444
288030at32523	0.9166666666666666
290126at32523	0.9411764705882353
290134at32523	1
290884at32523	0.9
293248at32523	0.9
293308at32523	0.9411764705882353
293354at32523	1
294122at32523	0.9333333333333333
298305at32523	1
301621at32523	1
302394at32523	0.9166666666666666
302602at32523	0.9444444444444444
305138at32523	0.9230769230769231
307391at32523	1
34044at32523	1
48469at32523	1
62512at32523	1
