gene	distance
100088at32523	0.6894719800599575
101062at32523	0.7135478510687043
104070at32523	0.6148082837885167
106993at32523	0.5320173348301714
109624at32523	0.5549372094251619
109646at32523	0.5151608968895842
113607at32523	0.5699340397929642
113921at32523	0.5886029476742105
117158at32523	0.6941345131006013
117499at32523	0.578136206528903
118839at32523	0.6681690973964448
124683at32523	0.6850555680476684
125206at32523	0.5303340418896172
130217at32523	0.5633912463354441
132408at32523	0.5468373138068805
133426at32523	0.7019396577232192
134798at32523	0.5959663267111123
134832at32523	1
138015at32523	0.5221845747638488
138400at32523	0.5572188373180409
138465at32523	0.6060226460084225
142573at32523	1
142910at32523	0.7494256602364948
143557at32523	0.7135158609015153
144087at32523	0.7852689095663992
144786at32523	0.8338921203961515
145469at32523	0.5202846646987269
146870at32523	0.528707699553974
152640at32523	0.6114640178123474
155190at32523	0.592660347760877
158268at32523	0.7292980571295637
158493at32523	0.5683593926291941
163188at32523	0.602951397378816
163231at32523	0.5605560028906323
164748at32523	0.5301666724498956
165494at32523	0.5302791581194758
166016at32523	1
167127at32523	0.6536827974314245
167160at32523	0.5210078926283874
168477at32523	0.5329580897243394
171311at32523	0.5569095687176943
17218at32523	0.5808930024683064
174944at32523	0.5405915086291436
177431at32523	0.5719224591633905
179213at32523	0.6526655540294607
180491at32523	0.6747268413915716
185487at32523	1
185680at32523	0.6435796602427035
188643at32523	0.6357985053485872
189244at32523	0.6566734130796341
190386at32523	0.553211254594077
191322at32523	0.5802286159631896
192944at32523	0.5163480568098044
193058at32523	0.7734456363914973
193635at32523	0.522327027096392
194240at32523	0.5306526365018007
194455at32523	0.5366527070693536
196473at32523	0.6232721342161819
198109at32523	0.6156879040696216
198830at32523	0.6042952903397147
199010at32523	0.5590298395350396
200031at32523	0.5847932707457331
200625at32523	0.5715758873469154
203233at32523	0.6884790599175966
203700at32523	0.5198548832070051
203712at32523	0.7043218910701461
203753at32523	0.5729826470343425
204259at32523	0.5853304419530356
205149at32523	0.5652456304547538
209730at32523	0.6446293721618362
210195at32523	0.5114240587132953
212699at32523	0.5630223500289273
213441at32523	0.62918842615552
214194at32523	0.5761075017599014
215625at32523	0.679216180592836
216370at32523	0.5507715615892235
216435at32523	0.5839384948876624
216921at32523	0.5437463000209156
218576at32523	0.5406173597397871
218597at32523	0.5417077376947047
218685at32523	0.6436060919930069
219201at32523	0.6575836753183788
219728at32523	0.5372426280043524
222485at32523	0.6181428146404362
223192at32523	0.5731127747492613
223800at32523	0.5222080051505292
224357at32523	0.5282407339413776
226133at32523	0.5194049626079951
228563at32523	0.518995334973312
228819at32523	0.7020148777602807
229316at32523	0.5677698494708072
229340at32523	0.5499956774365731
230581at32523	0.6113995542582025
232356at32523	0.5693784869809928
235309at32523	0.6131667436194757
235509at32523	0.6301504379830921
236312at32523	0.5646292088618485
236822at32523	0.6707588964209431
237414at32523	0.6094477956498983
237758at32523	0.7185689322721562
238978at32523	0.6156455400600575
239181at32523	0.7734456363914973
239784at32523	0.7734456363914973
240467at32523	0.5417231918591954
240735at32523	0.6185090162086446
241282at32523	0.5099744195510247
241639at32523	0.6401208458743588
242587at32523	0.6673130807786629
243039at32523	0.5589697214100038
243068at32523	0.7734456363914973
243139at32523	0.5214115246002632
243357at32523	0.5557367203679963
243385at32523	0.6057487194088096
243504at32523	0.7077727840875743
244174at32523	0.6756479058837513
245153at32523	0.5724761590327379
245810at32523	0.7423236582418337
248911at32523	0.5997522665590126
249113at32523	0.6938439531063934
249574at32523	0.686059590024071
250587at32523	0.53995396292505915
25058at32523	0.5996044394896786
250844at32523	0.7380000208867602
250976at32523	0.6809061026881067
251946at32523	0.5171077369307294
252712at32523	0.5573999731336717
253171at32523	0.6004931562414009
253461at32523	0.5553724984953916
254079at32523	1
254236at32523	0.7973498254381921
254458at32523	0.6106751199411051
254634at32523	0.528303607013495
254860at32523	0.5522037748974794
255510at32523	0.5320982767543431
256220at32523	0.5129065262102953
256441at32523	0.5196141090734425
257119at32523	0.5119442994899228
257713at32523	0.6572000285218307
257979at32523	0.5328594968500667
258710at32523	0.5777634699805695
260366at32523	0.773601401565721
260825at32523	0.6384780649376005
261858at32523	0.5556989067609118
262005at32523	0.5438297589302404
263137at32523	0.5610223499599862
263553at32523	0.5376783406516528
263885at32523	0.6901356695982775
264361at32523	0.5438907417029398
264604at32523	0.5994989311496131
264636at32523	0.5771316112762497
266457at32523	0.6219382563804167
266685at32523	0.5095611682682379
267061at32523	0.7133261951525749
267170at32523	0.5552260565112583
267472at32523	0.8074430173031689
268208at32523	0.7475815162006814
269039at32523	0.592256024932426
269758at32523	0.7362409151626679
269797at32523	0.528977689784769
270073at32523	0.6606288693026798
272134at32523	0.6352503617466553
273646at32523	0.5676084600143323
274390at32523	0.5380009319316238
275846at32523	0.5464854197197218
276378at32523	0.658696981304508
27657at32523	0.5105246195097886
277530at32523	0.5718246075216817
278185at32523	0.5146909249207958
279020at32523	0.5190668261165865
279423at32523	0.5687797575078332
279478at32523	0.7122812747589283
281238at32523	0.542237656365139
281245at32523	0.5576803288294511
281656at32523	0.5631375096607215
281797at32523	0.6333603027015734
282804at32523	0.6143134834685442
282898at32523	0.5339038900732259
283153at32523	0.5309190092527203
283167at32523	0.5727413790431752
283327at32523	0.5767565905742507
283371at32523	0.7558935867997002
283660at32523	0.5158022837994377
283734at32523	0.5291331245049634
283776at32523	0.5857744549476598
283967at32523	0.5472932527325688
284008at32523	0.6161451778214532
284331at32523	0.7411002337265137
285079at32523	0.5953908899564543
285163at32523	0.5197347322491567
285773at32523	0.6192380151109916
287006at32523	0.5655333850816633
287864at32523	0.5599916534539642
287872at32523	0.5205683970536596
288030at32523	0.6032202905654248
288598at32523	0.5335206028032049
288923at32523	0.6306648265645366
289591at32523	0.5474605192115118
290126at32523	0.5934459276104045
290134at32523	0.8037220503392695
290216at32523	0.5970749812155065
290236at32523	0.6299937177460498
290670at32523	0.6223016538608914
290800at32523	0.5451680051353999
290884at32523	0.6786081395906768
29093at32523	0.583426725851036
291010at32523	0.5357347805941758
291672at32523	0.6098860694096777
293248at32523	0.69816465580384
293308at32523	0.7351814446211205
293354at32523	0.85496625114824
293431at32523	0.5918827988747651
294083at32523	0.5701914063249934
294122at32523	0.6280144476291902
294423at32523	0.5924853510511886
294624at32523	0.6749457604250105
294828at32523	0.5197867264971571
295457at32523	0.5675905865073639
295641at32523	0.6842393734722582
298305at32523	0.7585819129487804
298630at32523	0.5588699906198559
299063at32523	0.5390301286087575
299311at32523	0.53729746736319
299492at32523	0.529950229349298
301105at32523	0.5358624180200702
301243at32523	0.5251816974625301
301474at32523	0.6905022958817071
301621at32523	0.6226805457073366
302394at32523	0.5964548947764349
302602at32523	0.6625419165886632
302932at32523	0.5762236371852112
303212at32523	0.6020531995302227
303889at32523	0.5801534397478383
304313at32523	0.5379636846109914
304806at32523	0.5160948705363608
305138at32523	0.7178074751055792
305787at32523	0.5802988519598625
307163at32523	0.5096915150894272
307391at32523	0.8565181175644307
308580at32523	0.5409066177231799
308747at32523	0.5537209165883393
34044at32523	1
35484at32523	0.5141286484135937
3576at32523	0.6073572235829594
45054at32523	0.6228867608861963
46651at32523	0.5828954486130755
48469at32523	0.7734456363914973
51849at32523	0.5309031487168918
62512at32523	0.8802349831245156
66945at32523	0.5362265757391506
69006at32523	0.6669314816812545
74571at32523	0.5637172944829952
75577at32523	0.5182499199224839
81392at32523	0.6405349007401369
83777at32523	0.5900144223299734
85764at32523	0.5144018201252032
